2019-12-19 17:30:43.694  INFO 174700 --- [restartedMain] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2019-12-19 17:30:43.694  INFO 174700 --- [restartedMain] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2019-12-19 17:30:43.695  INFO 174700 --- [restartedMain] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2019-12-19 17:30:43.890  INFO 174700 --- [restartedMain] c.n.eureka.cluster.PeerEurekaNodes       : Replica node URL:  http://localhost:8761/eureka/
2019-12-19 17:30:43.913  INFO 174700 --- [restartedMain] c.n.e.registry.AbstractInstanceRegistry  : Finished initializing remote region registries. All known remote regions: []
2019-12-19 17:30:43.915  INFO 174700 --- [restartedMain] c.n.eureka.DefaultEurekaServerContext    : Initialized
2019-12-19 17:30:43.932  INFO 174700 --- [restartedMain] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2019-12-19 17:30:43.983  INFO 174700 --- [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application SERVICEDISCOVERY with eureka with status UP
2019-12-19 17:30:43.987  INFO 174700 --- [Thread-22] o.s.c.n.e.server.EurekaServerBootstrap   : Setting the eureka configuration..
2019-12-19 17:30:43.988  INFO 174700 --- [Thread-22] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka data center value eureka.datacenter is not set, defaulting to default
2019-12-19 17:30:43.989  INFO 174700 --- [Thread-22] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka environment value eureka.environment is not set, defaulting to test
2019-12-19 17:30:44.011  INFO 174700 --- [Thread-22] o.s.c.n.e.server.EurekaServerBootstrap   : isAws returned false
2019-12-19 17:30:44.012  INFO 174700 --- [Thread-22] o.s.c.n.e.server.EurekaServerBootstrap   : Initialized server context
2019-12-19 17:30:44.012  INFO 174700 --- [Thread-22] c.n.e.r.PeerAwareInstanceRegistryImpl    : Got 1 instances from neighboring DS node
2019-12-19 17:30:44.013  INFO 174700 --- [Thread-22] c.n.e.r.PeerAwareInstanceRegistryImpl    : Renew threshold is: 1
2019-12-19 17:30:44.013  INFO 174700 --- [Thread-22] c.n.e.r.PeerAwareInstanceRegistryImpl    : Changing status to UP
2019-12-19 17:30:44.045  INFO 174700 --- [Thread-22] e.s.EurekaServerInitializerConfiguration : Started Eureka Server
2019-12-19 17:30:44.110  INFO 174700 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8761 (http) with context path ''
2019-12-19 17:30:44.111  INFO 174700 --- [restartedMain] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8761
2019-12-19 17:30:44.553  INFO 174700 --- [restartedMain] c.p.e.S.ServiceDiscoveryApplication      : Started ServiceDiscoveryApplication in 10.75 seconds (JVM running for 11.862)
2019-12-19 17:31:23.190  INFO 174700 --- [http-nio-8761-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-12-19 17:31:23.191  INFO 174700 --- [http-nio-8761-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2019-12-19 17:31:23.205  INFO 174700 --- [http-nio-8761-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 14 ms
2019-12-19 17:31:44.015  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-12-19 17:32:44.015  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-12-19 17:33:44.016  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-12-19 17:34:44.017  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-12-19 17:35:44.018  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-12-19 17:36:44.018  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-12-19 17:37:44.019  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-12-19 17:38:44.020  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-12-19 17:39:44.021  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-12-19 17:40:44.022  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-12-19 17:41:44.022  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-12-19 17:42:44.024  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-12-19 17:43:44.024  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2019-12-19 17:44:44.024  INFO 174700 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
